Transaction_ID,Timestamp,From_Account,To_Account,Amount,Currency,Transaction_Type,Is_Laundering,Payment_Format,From_Bank,To_Bank,Account_Age_Days,Is_First_Transaction
TX_00000000,2024-06-30T15:33:00,ACC_000322,ACC_000260,4115.42,USD,DEBIT,0,Wire,BANK_036,BANK_037,783,0
TX_00000001,2024-01-12T07:56:00,ACC_000113,ACC_000139,4456.55,JPY,TRANSFER,0,Check,BANK_030,BANK_039,1070,0
TX_00000002,2024-01-22T21:43:00,ACC_000176,ACC_000088,12701.8,EUR,DEBIT,0,Crypto,BANK_024,BANK_041,1645,0
TX_00000003,2024-11-08T04:40:00,ACC_000205,ACC_000309,3354.27,EUR,DEBIT,0,Cash,BANK_006,BANK_033,647,0
TX_00000004,2024-05-07T17:11:00,ACC_000361,ACC_000336,3112.87,JPY,TRANSFER,0,Cash,BANK_013,BANK_044,1247,0
TX_00000005,2024-07-27T02:43:00,ACC_000193,ACC_000175,6904.38,CHF,PAYMENT,0,Crypto,BANK_023,BANK_030,1692,0
TX_00000006,2024-12-20T00:11:00,ACC_000321,ACC_000205,2963.73,CHF,TRANSFER,0,Crypto,BANK_001,BANK_019,1907,0
TX_00000007,2024-06-15T21:53:00,ACC_000256,ACC_000415,2021.21,JPY,PAYMENT,0,Crypto,BANK_028,BANK_012,3031,0
TX_00000008,2024-05-25T04:00:00,ACC_000368,ACC_000204,347.45,CHF,DEBIT,0,ACH,BANK_018,BANK_008,735,0
TX_00000009,2024-04-28T05:03:00,ACC_000190,ACC_000323,4213.14,EUR,CASH_OUT,0,Check,BANK_002,BANK_026,116,1
TX_00000010,2024-02-06T04:43:00,ACC_000480,ACC_000200,9037.99,CHF,PAYMENT,0,Crypto,BANK_011,BANK_009,3624,0
TX_00000011,2024-06-22T05:33:00,ACC_000238,ACC_000187,1749.49,JPY,TRANSFER,0,Check,BANK_012,BANK_016,2905,0
TX_00000012,2024-10-30T10:20:00,ACC_000494,ACC_000357,9944.94,EUR,DEBIT,1,Cash,BANK_021,BANK_027,2243,0
