step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
0,CASH_IN,915.3,C833807166,81300.46,80385.16,M767592264,85541.0,86456.31,0,0
1,CASH_IN,135.4,C992232155,27506.29,27370.89,M719195596,93760.22,93895.62,0,0
2,TRANSFER,628.41,C871127888,82446.93,81818.52,M198695333,53955.46,54583.87,0,0
3,PAYMENT,9268.71,C488453866,20927.5,11658.79,M882458002,26989.08,36257.79,0,0
4,PAYMENT,678.98,C396145922,48296.06,47617.08,M843286237,16683.11,17362.09,0,0
5,CASH_IN,1023.54,C250108213,72567.47,71543.93,M698161469,20033.57,21057.11,0,0
6,PAYMENT,4164.76,C992214326,9457.76,5293.0,M695446647,137.3,4302.06,0,0
7,PAYMENT,2674.34,C211642652,75339.43,72665.09,M956707740,23704.96,26379.3,0,0
8,CASH_IN,3.53,C380352811,44728.96,44725.43,M794597011,4645.87,4649.41,0,0
9,CASH_IN,1200.43,C428835380,81376.94,80176.5,M315666868,99127.09,100327.52,0,0
10,PAYMENT,352.07,C376535477,86578.52,86226.46,M812999972,43162.65,43514.71,0,0
11,TRANSFER,2577.18,C990434371,92906.32,90329.14,M475477124,8226.9,10804.08,0,0
12,TRANSFER,1219.92,C488963733,56347.09,55127.17,M302419932,81800.88,83020.79,0,0
13,DEBIT,1626.73,C309705890,23876.1,22249.37,M921859736,91391.07,93017.8,0,0
14,TRANSFER,235323.87,C924380252,85381.38,0.0,M485423356,14555.22,249879.09,1,1
15,TRANSFER,972.99,C739430415,54407.76,53434.77,M622559952,96589.86,97562.85,0,0
16,TRANSFER,2576.29,C636594450,4269.83,1693.54,M205433933,34948.16,37524.45,0,0
17,DEBIT,2255.23,C802250645,48263.24,46008.01,M762807982,16914.79,19170.02,0,0
18,DEBIT,3975.32,C713213386,10747.19,6771.87,M331697143,27352.65,31327.97,0,0
19,TRANSFER,664.41,C185936826,99251.78,98587.37,M804171511,69958.31,70622.72,0,0
20,TRANSFER,5503.95,C763320534,7846.75,2342.8,M178023816,61841.57,67345.51,0,0
21,CASH_IN,1931.66,C828289965,48013.63,46081.97,M960453755,57366.95,59298.61,0,0
22,CASH_IN,390076.61,C354919500,13181.22,0.0,M623427995,52460.77,442537.37,1,1
23,PAYMENT,323.18,C683669916,82248.86,81925.68,M509866642,39096.74,39419.91,0,0
24,CASH_OUT,401.81,C369509924,51527.95,51126.13,M139729935,91001.26,91403.08,0,0
